Race,Zip_Code_Risk,School_Rating,Property_Value,Branch_Quality,Annual_Income,Employment_Years,Credit_Score,Name_Pattern,Loan_Approved
0,52.8,2.7,178183.0,3.9,51850.0,0.9,649.0,0.429,0
0,79.2,4.2,198351.0,2.9,61608.0,11.4,568.0,0.123,0
1,29.4,7.5,353374.0,4.9,89093.0,3.6,660.0,0.362,1
1,27.7,4.2,344189.0,3.6,26329.0,1.5,689.0,0.726,0
1,52.3,3.7,276873.0,8.2,36095.0,2.0,685.0,0.649,0
0,40.7,4.1,505100.0,9.3,80844.0,0.0,712.0,0.163,1
0,33.9,2.8,542533.0,1.3,87033.0,15.0,640.0,0.38,0
1,34.6,6.0,311561.0,2.3,27912.0,1.3,735.0,0.543,0
0,43.3,4.5,398194.0,3.4,91576.0,12.0,699.0,0.318,1
0,43.9,1.0,401926.0,2.8,20000.0,9.6,737.0,0.429,0
0,73.6,5.0,397669.0,3.5,62959.0,2.1,796.0,0.624,0
1,53.1,4.2,272223.0,4.5,53504.0,1.2,571.0,0.916,0
0,76.8,4.0,466739.0,3.9,36562.0,2.8,653.0,0.551,0
0,81.6,3.0,303696.0,1.9,37473.0,13.6,627.0,0.684,0
1,58.6,5.2,354451.0,3.0,38030.0,9.7,830.0,0.269,1
0,33.1,6.5,333628.0,8.4,45177.0,3.4,722.0,0.214,1
0,71.8,4.5,302947.0,4.2,108490.0,3.9,700.0,0.241,0
1,32.1,7.4,356244.0,4.7,68135.0,2.6,764.0,0.438,1
1,28.8,6.2,240735.0,2.2,87009.0,14.5,681.0,0.513,1
1,48.4,6.9,168105.0,4.5,43095.0,22.5,713.0,0.584,1
0,39.0,4.6,313407.0,6.8,53750.0,1.7,648.0,0.774,1
1,13.7,6.4,272699.0,6.5,31932.0,15.0,584.0,0.856,1
0,74.5,5.7,356548.0,6.8,43854.0,15.0,743.0,0.075,1
1,47.3,6.2,361045.0,2.8,39301.0,3.2,613.0,0.274,0
1,42.1,9.4,330053.0,3.4,59603.0,2.7,732.0,0.888,1
0,51.8,5.4,442625.0,7.4,36948.0,10.2,756.0,0.572,1
0,76.2,2.3,311423.0,6.1,35075.0,14.3,523.0,0.486,0
0,75.2,3.7,195746.0,4.2,57443.0,2.6,753.0,0.086,0
1,41.3,6.6,311469.0,7.0,47983.0,3.4,698.0,0.173,1
1,22.3,6.1,432507.0,2.8,37041.0,2.0,612.0,0.798,1
1,33.6,7.0,182449.0,2.9,34938.0,1.2,558.0,0.252,0
0,77.6,5.2,303693.0,1.8,37036.0,27.9,675.0,0.694,0
0,84.9,2.0,353583.0,5.1,67904.0,1.0,667.0,0.386,0
0,60.1,5.9,532128.0,5.6,57931.0,8.4,756.0,0.928,1
1,36.3,5.3,428533.0,4.0,36240.0,2.7,685.0,0.491,1
0,62.6,3.1,329322.0,3.1,36822.0,0.4,604.0,0.101,0
1,44.1,5.1,369599.0,9.8,30979.0,2.0,571.0,0.658,1
0,56.3,5.2,170042.0,4.5,41886.0,0.4,690.0,0.54,0
1,0.0,5.6,266022.0,7.9,51492.0,20.1,680.0,0.389,1
1,57.9,5.0,373131.0,4.7,34490.0,1.5,772.0,0.534,0
1,66.9,5.4,329433.0,4.1,117586.0,6.9,646.0,0.749,1
1,30.8,3.3,357692.0,7.5,62913.0,2.8,709.0,0.404,1
0,49.0,2.7,328229.0,6.1,48394.0,5.7,671.0,0.276,0
0,62.9,2.1,318121.0,4.4,50718.0,1.5,491.0,0.578,0
1,37.2,5.6,339641.0,7.4,28098.0,0.5,730.0,0.294,1
1,54.9,7.0,238051.0,10.0,30345.0,8.3,650.0,0.621,1
0,65.8,4.8,298776.0,3.5,83213.0,6.3,726.0,0.823,0
0,53.1,5.9,223916.0,6.1,94281.0,0.6,692.0,0.236,0
0,45.2,5.6,277820.0,4.3,20208.0,6.6,611.0,0.087,1
0,78.0,3.2,406680.0,2.8,59169.0,4.6,668.0,0.936,0
0,74.0,4.0,298543.0,2.9,85191.0,0.9,678.0,0.52,0
1,55.9,6.0,369713.0,8.4,42758.0,8.7,693.0,0.143,1
1,25.5,2.8,346485.0,1.0,90016.0,6.0,716.0,0.242,0
1,67.6,4.2,285420.0,5.9,66632.0,3.5,682.0,0.373,0
0,38.8,3.7,249892.0,3.1,58710.0,1.0,802.0,0.59,0
0,75.6,3.7,280174.0,8.3,44451.0,3.9,739.0,0.05,0
1,11.4,6.8,358976.0,4.8,50861.0,0.9,750.0,0.635,1
1,28.1,6.7,382340.0,4.6,40988.0,1.0,738.0,0.287,1
0,88.4,1.3,315579.0,7.4,55193.0,1.4,685.0,0.847,0
0,77.5,4.8,363223.0,6.7,54237.0,5.3,731.0,0.575,1
0,56.8,4.3,199983.0,6.0,41204.0,5.7,767.0,0.739,0
0,57.2,4.9,390724.0,6.6,22498.0,0.4,689.0,0.45,1
1,41.5,7.6,238985.0,3.4,45343.0,5.3,754.0,0.662,0
0,72.7,3.8,392324.0,6.2,32626.0,0.2,589.0,0.845,0
1,58.8,7.9,360806.0,5.2,31309.0,11.8,757.0,0.275,1
1,33.2,4.7,183807.0,5.7,37198.0,7.5,626.0,0.626,0
0,40.8,2.6,388545.0,5.5,68238.0,6.4,589.0,0.564,0
1,42.4,6.6,408431.0,3.1,31431.0,1.4,660.0,0.836,0
0,58.1,3.4,421561.0,5.9,34373.0,21.9,695.0,0.319,0
1,20.5,6.4,278267.0,4.9,65037.0,12.9,703.0,0.372,1
0,69.5,7.0,329620.0,2.9,36089.0,3.4,770.0,0.8,0
1,36.8,6.6,387154.0,5.0,31230.0,0.2,641.0,0.448,1
1,44.6,6.3,386607.0,5.3,67747.0,3.6,795.0,0.252,1
1,26.6,4.7,369470.0,6.1,46547.0,0.8,795.0,0.304,1
0,72.3,1.5,279719.0,1.0,50319.0,4.5,696.0,0.192,0
0,45.2,3.9,406414.0,5.6,44822.0,21.6,622.0,0.529,0
1,27.6,7.6,415714.0,4.5,58065.0,7.1,850.0,0.036,1
0,61.4,3.5,306980.0,6.3,64485.0,1.9,801.0,0.534,0
1,66.1,6.6,254252.0,5.3,46668.0,2.5,693.0,0.172,1
0,76.8,6.1,253382.0,4.6,26923.0,14.5,585.0,0.776,0
0,81.2,6.1,418606.0,4.9,55215.0,0.6,723.0,0.325,0
1,61.3,6.6,395426.0,6.0,42787.0,11.0,639.0,0.365,1
1,94.0,6.3,301376.0,7.1,69073.0,0.4,741.0,0.463,0
0,65.6,1.7,301254.0,2.6,34261.0,2.7,696.0,0.589,0
1,61.3,5.1,177892.0,4.3,43228.0,6.8,568.0,0.516,0
0,80.2,3.6,303153.0,7.7,27099.0,2.5,597.0,0.114,0
0,79.9,2.7,214741.0,3.8,67055.0,4.2,627.0,0.458,0
0,91.6,4.4,316913.0,5.6,80029.0,3.4,795.0,0.48,0
0,58.7,6.9,415465.0,2.9,40328.0,4.6,635.0,0.413,1
0,57.5,6.3,242804.0,1.8,45359.0,0.9,521.0,0.688,0
0,69.8,4.4,334189.0,2.8,35459.0,4.3,666.0,0.247,0
0,62.3,5.2,398693.0,3.7,36853.0,21.8,662.0,0.259,0
0,69.8,2.9,332735.0,6.7,64694.0,1.1,791.0,0.641,0
0,88.4,6.2,263861.0,7.5,40068.0,0.3,786.0,0.083,1
1,32.8,3.7,334417.0,1.0,59282.0,2.5,588.0,0.623,0
0,60.4,5.4,396365.0,4.0,48723.0,2.3,708.0,0.154,0
0,67.6,4.7,337199.0,6.3,66186.0,0.7,735.0,0.849,0
1,36.6,4.9,331443.0,4.8,41900.0,4.2,672.0,0.185,0
0,36.3,3.7,424346.0,7.7,75669.0,2.9,692.0,0.115,1
0,56.3,2.3,363044.0,5.8,103796.0,9.1,757.0,0.944,1
1,50.3,4.4,228613.0,4.3,24831.0,2.7,700.0,0.827,0
1,61.6,3.6,369731.0,4.4,47246.0,21.2,727.0,0.307,1
0,47.7,5.2,402124.0,4.9,47235.0,7.6,778.0,0.15,1
0,47.6,5.8,227209.0,3.5,36817.0,3.3,649.0,0.202,0
0,65.5,1.0,135774.0,6.1,57699.0,4.0,736.0,0.631,0
0,33.9,6.8,249712.0,6.8,76745.0,10.1,649.0,0.599,1
1,33.3,6.0,325137.0,6.1,22257.0,7.4,755.0,0.394,1
0,39.0,4.4,411303.0,5.4,21593.0,5.4,637.0,0.894,0
0,85.5,1.8,235956.0,2.3,95127.0,1.6,710.0,0.254,0
0,53.5,6.0,367680.0,6.2,44541.0,2.6,664.0,0.098,0
1,64.8,6.3,86213.0,5.5,50807.0,7.7,721.0,0.963,0
1,56.7,7.7,336073.0,9.5,31972.0,4.9,621.0,0.722,1
0,55.3,5.8,289808.0,2.6,49898.0,15.7,661.0,0.532,0
0,48.9,6.0,493428.0,3.8,84758.0,10.3,676.0,0.585,1
1,37.1,5.0,180085.0,1.8,59789.0,2.8,605.0,0.477,0
1,38.4,5.7,329625.0,4.7,52950.0,1.7,637.0,0.14,1
0,70.2,3.1,163046.0,1.1,24149.0,0.7,565.0,0.446,0
1,28.4,7.3,291847.0,7.8,65978.0,2.6,706.0,0.663,1
1,51.2,6.5,188310.0,7.5,49209.0,1.3,736.0,0.666,1
0,69.0,5.6,499573.0,4.8,38438.0,0.1,583.0,0.046,0
0,59.9,5.7,291609.0,3.1,63386.0,0.7,598.0,0.603,0
1,29.3,3.4,318458.0,1.6,34921.0,3.0,613.0,0.655,0
1,37.2,8.0,327968.0,4.2,61347.0,11.1,591.0,0.526,1
1,27.7,7.4,245545.0,6.7,79758.0,1.9,708.0,0.254,1
0,65.9,3.4,401481.0,3.1,52140.0,2.9,632.0,0.821,0
0,66.3,4.5,368075.0,8.7,41374.0,2.4,698.0,0.452,1
1,43.9,5.8,401472.0,8.1,38993.0,2.3,628.0,0.393,0
1,66.5,6.9,219316.0,5.4,57129.0,6.4,656.0,0.413,0
1,38.0,5.4,421819.0,4.2,41241.0,3.5,753.0,0.145,1
1,55.1,6.7,404053.0,4.2,126323.0,2.6,599.0,0.918,0
0,68.4,4.1,297187.0,8.0,27832.0,14.4,641.0,0.804,0
1,36.4,5.4,403389.0,3.8,46541.0,1.6,709.0,0.34,1
0,63.2,4.3,340207.0,6.7,54668.0,8.9,658.0,0.091,0
1,39.1,10.0,202921.0,6.0,52125.0,3.6,693.0,0.716,1
1,44.2,5.0,313277.0,6.4,39171.0,2.9,680.0,0.7,1
1,25.6,5.6,298674.0,3.5,80250.0,0.3,575.0,0.651,0
0,43.0,3.0,335324.0,3.9,64007.0,9.8,778.0,0.431,1
0,74.8,3.2,394283.0,4.6,65901.0,1.6,673.0,0.102,0
1,53.5,7.2,191957.0,4.2,37528.0,5.7,792.0,0.623,0
1,51.2,7.1,288921.0,7.9,41727.0,10.4,704.0,0.128,1
0,67.3,4.0,250591.0,3.3,59593.0,3.8,772.0,0.571,0
1,51.5,7.5,261935.0,4.4,31565.0,5.1,752.0,0.734,0
0,75.7,5.2,246301.0,7.8,63974.0,2.1,766.0,0.432,0
0,76.8,3.8,317046.0,7.1,47081.0,6.5,664.0,0.421,0
0,52.1,1.7,365801.0,7.5,75045.0,5.3,805.0,0.039,1
1,23.5,7.2,366093.0,1.6,41314.0,2.9,647.0,0.195,1
0,59.2,4.3,335268.0,5.3,101283.0,5.0,705.0,0.34,0
0,64.7,4.0,367370.0,5.0,57769.0,1.5,740.0,0.146,0
1,36.4,5.3,522240.0,3.9,60365.0,5.4,850.0,0.83,1
0,36.8,5.1,342446.0,5.7,37159.0,5.6,757.0,0.235,1
0,90.8,4.5,386278.0,4.3,54249.0,2.9,643.0,0.372,0
1,35.9,5.6,409190.0,5.5,39352.0,1.4,699.0,0.902,1
1,42.6,4.2,470928.0,10.0,26472.0,8.1,586.0,0.741,1
1,58.7,7.6,365507.0,6.2,45331.0,7.0,783.0,0.895,1
1,4.8,6.9,280042.0,6.1,78052.0,0.3,461.0,0.824,1
0,57.3,4.4,345728.0,6.5,47779.0,3.4,668.0,0.646,1
1,34.2,2.0,352994.0,4.8,43579.0,0.5,834.0,0.291,1
1,35.0,5.9,397737.0,3.0,43349.0,1.9,733.0,0.16,1
1,37.4,5.6,261429.0,1.8,120166.0,2.7,714.0,0.764,0
1,61.7,5.1,420452.0,5.0,62528.0,1.0,597.0,0.391,0
0,75.1,5.1,312868.0,4.5,25952.0,3.2,773.0,0.043,0
1,54.4,7.1,389965.0,1.5,39448.0,6.1,616.0,0.583,0
1,40.7,6.7,354420.0,8.6,41759.0,2.9,617.0,0.594,1
0,44.0,5.6,337803.0,5.3,36736.0,1.3,773.0,0.189,1
1,8.8,4.5,364306.0,7.8,50299.0,2.7,614.0,0.856,1
1,17.1,5.3,395230.0,1.0,38966.0,4.5,578.0,0.432,0
0,70.4,4.1,471494.0,7.7,39931.0,13.8,613.0,0.942,1
1,40.5,5.1,168372.0,4.0,52125.0,3.5,693.0,0.859,0
1,36.8,7.1,374776.0,7.9,26469.0,10.9,645.0,0.803,1
1,34.5,5.2,336282.0,5.5,20735.0,20.9,807.0,0.355,1
0,95.2,5.9,288244.0,6.1,80590.0,4.1,682.0,0.536,0
0,52.7,2.6,134610.0,5.4,68521.0,0.8,593.0,0.616,0
1,53.9,9.2,369458.0,5.0,56815.0,10.4,549.0,0.377,1
0,65.0,7.0,307488.0,4.1,55374.0,9.9,743.0,0.493,0
1,39.1,5.9,263703.0,4.4,45447.0,10.1,701.0,0.879,0
1,57.6,7.7,324574.0,2.6,163798.0,15.0,723.0,0.305,1
1,61.9,5.4,295608.0,4.1,52954.0,1.6,650.0,0.733,0
0,61.4,5.5,179905.0,3.7,139140.0,2.0,691.0,0.259,0
0,77.0,3.7,318561.0,1.8,111873.0,5.8,763.0,0.148,0
0,70.5,2.1,361177.0,5.3,58963.0,4.1,680.0,0.721,0
1,40.1,1.0,286006.0,4.2,45071.0,10.1,600.0,0.596,0
1,43.1,5.6,349405.0,5.6,49336.0,1.5,731.0,0.802,1
0,54.7,4.4,331309.0,6.3,41759.0,5.4,656.0,0.243,1
0,60.4,6.0,403435.0,4.7,58947.0,14.1,748.0,0.277,1
0,56.3,4.1,313559.0,2.9,64185.0,1.2,682.0,0.582,0
0,78.5,5.5,374827.0,5.7,30041.0,1.8,740.0,0.743,1
1,38.6,5.3,305646.0,1.0,139495.0,2.6,715.0,0.783,0
0,45.5,3.5,484619.0,4.5,35868.0,0.5,771.0,0.481,1
0,54.1,5.6,287978.0,6.6,20000.0,1.0,747.0,0.649,0
0,17.0,1.0,286695.0,6.3,47443.0,2.4,589.0,0.882,0
0,57.6,4.0,313169.0,3.7,30965.0,0.4,549.0,0.492,0
1,40.6,5.4,271476.0,1.0,47984.0,2.3,675.0,0.614,0
1,38.0,8.0,231129.0,1.0,50431.0,1.4,722.0,0.359,0
0,94.7,3.2,360857.0,5.9,58578.0,10.0,629.0,0.572,0
0,73.6,4.8,68176.0,4.2,73302.0,4.7,711.0,0.822,0
1,48.0,7.4,268619.0,9.5,32762.0,11.4,708.0,0.367,1
1,15.4,3.8,234983.0,1.9,42390.0,1.1,675.0,0.237,0
0,59.5,3.8,331608.0,5.4,64307.0,0.4,636.0,0.737,0
0,57.7,3.4,146021.0,8.0,37686.0,2.2,609.0,0.871,0
1,28.2,7.4,379724.0,5.9,23134.0,0.3,850.0,0.171,1
1,28.0,7.0,388486.0,2.2,62803.0,10.7,532.0,0.344,0
0,37.9,3.7,200451.0,10.0,39101.0,1.0,593.0,0.577,0
0,45.9,2.4,342317.0,7.6,38074.0,0.8,850.0,0.49,1
1,53.1,7.6,364729.0,5.1,51433.0,7.8,608.0,0.509,0
1,37.9,5.9,406296.0,6.8,49102.0,6.2,641.0,0.607,1
1,32.4,3.6,216284.0,6.4,73049.0,0.3,728.0,0.31,1
0,64.9,1.7,188773.0,5.6,29744.0,3.6,714.0,0.035,0
1,57.5,6.7,441457.0,2.6,121159.0,3.0,711.0,0.538,1
1,40.1,4.1,264217.0,5.5,27843.0,2.4,785.0,0.538,0
0,73.1,6.8,271255.0,8.3,41978.0,0.7,613.0,0.17,0
0,52.3,2.6,374497.0,5.5,34634.0,7.7,692.0,0.246,0
0,55.7,4.0,228604.0,5.6,50122.0,1.4,676.0,0.726,0
1,45.3,6.2,306077.0,4.2,49390.0,3.1,618.0,0.504,0
0,93.4,2.9,374645.0,2.8,52394.0,10.6,687.0,0.521,0
0,86.4,1.0,193089.0,1.1,54422.0,1.9,719.0,0.232,0
1,48.7,6.3,285628.0,6.8,82666.0,0.2,721.0,0.704,1
0,67.3,2.9,226226.0,4.1,52191.0,11.0,755.0,0.923,0
1,61.0,6.2,257577.0,2.6,85421.0,3.4,677.0,0.649,0
0,76.9,3.8,406392.0,6.7,24339.0,3.4,609.0,0.469,0
0,30.6,4.4,447108.0,3.7,20461.0,4.0,583.0,0.524,0
1,24.2,8.3,358531.0,4.0,51576.0,1.0,648.0,0.301,1
1,45.1,5.2,370041.0,4.0,55871.0,6.3,585.0,0.711,0
1,13.2,5.3,383791.0,4.7,39595.0,1.3,630.0,0.545,0
0,51.5,1.5,270445.0,5.2,48822.0,1.8,597.0,0.856,0
0,54.5,3.7,341801.0,3.0,75368.0,5.0,634.0,0.887,0
1,36.2,6.6,228297.0,7.3,64096.0,6.9,805.0,0.35,1
1,35.7,5.3,255470.0,6.0,42960.0,6.6,671.0,0.77,1
0,60.7,4.6,312724.0,3.9,53058.0,0.4,790.0,0.27,0
1,52.4,5.7,238933.0,4.8,66407.0,7.0,709.0,0.836,0
1,36.0,4.0,230171.0,4.0,29977.0,5.4,636.0,0.258,0
0,59.2,4.5,263433.0,5.0,35526.0,4.6,671.0,0.522,0
1,19.8,5.7,431825.0,8.2,70922.0,17.0,564.0,0.672,1
1,55.4,6.2,446889.0,4.4,24542.0,2.1,657.0,0.724,0
1,29.9,5.1,332431.0,5.4,31693.0,5.7,588.0,0.207,0
1,23.7,5.0,384729.0,3.6,30172.0,4.3,722.0,0.637,1
1,43.2,6.2,283322.0,6.3,70766.0,2.5,650.0,0.545,0
1,28.5,5.7,170500.0,5.7,31763.0,7.8,659.0,0.208,0
1,32.1,8.6,262463.0,8.4,67289.0,2.6,651.0,0.821,1
1,43.9,7.2,303394.0,3.8,42560.0,4.1,743.0,0.904,1
0,60.1,4.8,331226.0,6.3,99856.0,4.1,618.0,0.456,1
1,74.7,5.7,304585.0,7.7,51603.0,3.6,613.0,0.566,0
0,63.9,1.0,295530.0,3.3,75115.0,3.1,704.0,0.303,0
0,74.3,2.8,266896.0,4.3,58932.0,0.9,756.0,0.953,0
1,10.9,5.0,372072.0,5.4,40932.0,1.4,703.0,0.776,1
0,52.1,3.6,214844.0,4.2,48775.0,0.7,833.0,0.31,0
0,48.7,3.9,389817.0,5.1,49185.0,6.4,615.0,0.116,0
0,50.7,5.0,277750.0,6.3,40752.0,6.8,528.0,0.365,0
0,71.2,4.4,479751.0,4.7,69924.0,5.1,714.0,0.354,1
0,80.5,5.7,284508.0,4.9,133819.0,12.5,669.0,0.547,0
1,45.2,5.5,289001.0,5.6,51346.0,1.5,713.0,0.556,1
1,36.6,6.4,286685.0,4.5,65293.0,8.6,740.0,0.809,1
0,55.5,4.5,284615.0,4.2,60568.0,1.0,573.0,0.033,0
0,81.7,4.4,357726.0,3.1,20000.0,0.4,660.0,0.695,0
1,71.1,7.9,311083.0,5.5,59673.0,0.0,721.0,0.757,1
1,42.0,7.2,407954.0,6.3,58490.0,4.3,698.0,0.12,1
1,54.1,4.0,360108.0,4.3,29749.0,7.5,668.0,0.286,0
1,45.2,5.8,329944.0,3.6,23971.0,8.7,732.0,0.322,0
0,76.3,4.0,341670.0,4.6,58155.0,3.2,750.0,0.621,0
1,22.5,9.2,434442.0,6.6,94666.0,0.3,536.0,0.414,1
0,57.7,3.5,373697.0,5.0,42288.0,0.2,790.0,0.52,0
1,45.9,4.5,349479.0,9.4,42930.0,12.5,594.0,0.279,1
0,83.2,4.7,342226.0,3.6,123417.0,0.5,722.0,0.525,0
1,27.7,6.7,243921.0,5.0,70150.0,7.7,657.0,0.377,0
1,9.5,5.9,550985.0,6.7,30161.0,0.4,768.0,0.237,1
1,32.5,5.7,375987.0,3.7,36857.0,1.0,730.0,0.569,1
1,55.2,7.4,372657.0,9.3,117209.0,0.9,721.0,0.73,1
1,16.2,4.7,339584.0,5.0,37601.0,1.6,696.0,0.567,1
0,47.3,3.5,142521.0,5.8,39605.0,2.6,642.0,0.487,0
0,67.3,3.2,295103.0,4.7,64104.0,0.7,611.0,0.798,0
1,38.3,7.6,336946.0,7.6,44117.0,18.1,583.0,0.404,1
0,73.9,4.4,247214.0,2.8,58534.0,0.0,636.0,0.541,0
1,21.6,4.4,272691.0,8.0,55003.0,7.4,744.0,0.803,1
1,35.1,4.6,305297.0,5.4,46256.0,3.7,610.0,0.406,0
0,82.9,6.8,370258.0,6.7,79518.0,0.4,765.0,0.329,1
1,22.1,7.6,439407.0,4.0,29433.0,0.6,608.0,0.723,1
1,62.2,7.3,332600.0,6.1,51380.0,4.5,668.0,0.227,1
1,24.0,6.0,292615.0,3.3,38867.0,1.9,712.0,0.812,1
1,52.7,8.3,294639.0,8.0,94541.0,3.0,752.0,0.099,1
1,34.4,4.3,340760.0,2.3,45717.0,4.0,654.0,0.482,0
1,22.8,7.1,356029.0,5.7,105772.0,4.3,714.0,0.41,1
0,57.5,3.3,356023.0,3.9,41411.0,4.4,695.0,0.551,0
0,73.2,3.6,278264.0,1.6,51208.0,0.4,663.0,0.82,0
1,39.9,7.1,372395.0,3.5,75754.0,6.7,607.0,0.239,0
1,56.8,5.8,357630.0,6.1,33449.0,1.7,711.0,0.178,1
1,61.5,5.3,287625.0,3.3,89647.0,0.6,682.0,0.818,0
1,22.3,5.3,201313.0,3.7,49536.0,0.5,658.0,0.462,0
0,46.2,1.0,256127.0,5.0,57793.0,1.4,688.0,0.475,0
0,45.4,5.1,452694.0,6.9,60987.0,5.0,720.0,0.378,1
1,26.5,4.5,201258.0,6.2,47552.0,3.2,562.0,0.397,0
0,81.6,6.8,414620.0,5.3,35457.0,0.6,642.0,0.226,0
1,48.4,5.6,187511.0,5.5,50904.0,0.2,612.0,0.476,0
0,56.8,6.0,259736.0,5.4,21927.0,0.1,617.0,0.261,0
0,64.8,1.3,287606.0,2.2,29020.0,2.7,625.0,0.738,0
1,61.1,7.1,462052.0,6.0,46349.0,7.8,757.0,0.326,1
0,93.6,5.5,305280.0,3.0,91030.0,4.3,703.0,0.84,0
0,68.9,6.0,298434.0,6.4,89934.0,8.3,603.0,0.666,0
0,25.1,1.7,262617.0,4.6,72532.0,1.9,693.0,0.203,0
0,69.5,2.9,357027.0,1.0,26486.0,0.8,710.0,0.227,0
0,79.0,4.9,269472.0,6.9,55288.0,8.1,655.0,0.446,0
0,68.4,4.2,297495.0,3.8,34744.0,6.5,590.0,0.273,0
1,50.9,6.4,295883.0,4.1,47720.0,4.4,604.0,0.273,0
0,70.4,3.5,372411.0,6.6,71812.0,10.9,569.0,0.742,0
1,21.5,8.3,400203.0,5.3,63777.0,5.0,830.0,0.51,1
1,26.7,9.9,265416.0,7.2,81901.0,3.7,559.0,0.768,1
1,35.2,6.2,282228.0,3.9,27898.0,3.5,592.0,0.193,0
0,81.0,4.7,251439.0,6.5,32561.0,4.8,678.0,0.096,0
1,28.5,6.1,350412.0,5.6,89552.0,3.6,552.0,0.307,1
0,71.8,5.9,386616.0,6.0,90103.0,1.6,599.0,0.83,0
1,44.6,7.2,343456.0,5.1,48705.0,15.4,688.0,0.359,1
0,88.8,2.4,130352.0,7.7,48565.0,15.9,694.0,0.873,0
1,39.4,5.1,391093.0,8.8,78364.0,0.9,709.0,0.344,1
1,13.7,4.5,235241.0,1.0,60649.0,3.8,730.0,0.623,0
1,49.7,10.0,267929.0,7.9,62476.0,7.8,677.0,0.491,1
0,97.1,5.0,317339.0,2.8,33863.0,0.3,632.0,0.082,0
0,75.7,3.1,305446.0,5.6,77633.0,0.7,712.0,0.326,0
0,53.2,3.0,393226.0,1.0,45258.0,3.9,777.0,0.601,0
1,23.8,7.2,289254.0,6.2,28087.0,0.1,723.0,0.512,1
0,50.7,5.4,247318.0,3.4,35863.0,8.9,620.0,0.446,0
1,70.0,7.2,290044.0,4.5,38606.0,10.3,723.0,0.444,0
0,60.1,3.4,398117.0,3.8,88540.0,6.7,719.0,0.565,1
